Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
Mazda,Flair,2017,Used,Automatic,Petrol,650 cc,"50,000 km"
Toyota,Axio,2015,New,Automatic,"Petrol, Hybrid","1,500 cc","90,000 km"
Toyota,Esquire,2014,Used,Automatic,Hybrid,"1,800 cc","97,000 km"
,,,,,,,
Honda,Fit,2015,Used,Automatic,"Petrol, Hybrid","1,500 cc","96,000 km"
Toyota,Premio,2018,Used,Automatic,Petrol,"1,500 cc","33,465 km"
,,,,,,,
Toyota,CHR,2018,Used,Automatic,Petrol,"1,200 cc","23,600 km"
Nissan,Sunny,2001,Used,Automatic,Petrol,"1,500 cc","134,000 km"
Hyundai,Trajet,2002,Used,Automatic,Petrol,"1,800 cc","215,000 km"
Perodua,Viva Elite,2015,Used,Manual,Petrol,850 cc,"59,000 km"
Honda,Fit,2011,Used,Automatic,"Petrol, Hybrid","1,330 cc","89,000 km"
Suzuki,Zen,2011,Used,Manual,Petrol,"1,000 cc","149,000 km"
Suzuki,XBee,2019,Used,Automatic,"Petrol, Hybrid","1,000 cc","8,250 km"
,,,,,,,
Suzuki,Celerio,2015,Used,Automatic,Petrol,"1,000 cc","53,000 km"
,,,,,,,
,,,,,,,
Kia,Sportage,2011,Used,Tiptronic,Petrol,"2,000 cc","150,000 km"
,,,,,,,
,,,,,,,
Toyota,Land Cruiser Prado,2010,Used,Automatic,Petrol,"2,700 cc","59,000 km"
,,,,,,,
Honda,Grace,2015,Used,Automatic,"Petrol, Hybrid","1,490 cc","67,000 km"
,,,,,,,
,,,,,,,
Toyota,Aqua,2014,Used,Automatic,Hybrid,"1,500 cc","92,000 km"
,,,,,,,
Suzuki,Wagon R FZ,2014,Used,Automatic,Hybrid,660 cc,"56,000 km"
Honda,Grace,2017,Used,Automatic,Petrol,"1,500 cc","58,000 km"
Mitsubishi,Montero,2007,Used,Tiptronic,Petrol,"3,500 cc","130,000 km"
Toyota,Corolla,2008,Used,Automatic,Petrol,"1,600 cc","129,000 km"
Suzuki,Every Wagon DA17,2016,Used,,,,"57,000 km"
Suzuki,Every ,2007,Used,,,,"120,000 km"
,,,,,,,
Mahindra,JETTO S6-16,2015,Used,,,,"52,000 km"
Dimo Batta,Dimo Batta,2007,Used,,,,"51,000 km"
Tata,Dimo batta,2015,Used,,,,"38,000 km"
Mitsubishi,Canter 150,2002,Used,,,,"200,000 km"
Tata,Batta,2012,Used,,,,"118,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
Mahindra,Maxximo plus,2018,Used,,,,"50,000 km"
,,,,,,,
,,,,,,,
Ashok Leyland,Tipper,2012,Used,,,,"160,000 km"
Nissan,Vanette,2007,Used,,,,"249,000 km"
Toyota,Townace Credit 27,1990,Used,,,,"35,000 km"
,,,,,,,
Mahindra,Maximo,2013,Used,,,,"90,000 km"
,,,,,,,
Toyota,kDH 200,2004,Used,,,,"128,000 km"
Daihatsu,Hijet  Freezer Auto,2007,Used,,,,"130,000 km"
,,,,,,,
,,,,,,,
Isuzu,NPR 58L,1989,Used,,,,"258,000 km"
Mitsubishi,Rosa,2013,Reconditioned,,,,"200,000 km"
Tata,Dimo Looka,2014,Used,,,,"53,000 km"
,,,,,,,
Mazda,BONGO,1999,Used,,,,"180,000 km"
Suzuki,Every JOIN,2017,Used,,,,"14,000 km"
Toyota,Coaster,2012,Used,,,,"185,000 km"
Toyota,KDH GL 201 White GL,2010,Used,,,,"180,000 km"
Toyota,Hiace,2003,Used,,,,"110,000 km"
Mahindra,Maximo plus,2013,Used,,,,"46,000 km"
Tata,Dimo Batta,2010,Used,,,,"65,000 km"
Toyota,TownAce,2008,Used,,,,"160,000 km"
Mitsubishi,canter,2010,Reconditioned,,,,"350,000 km"
Suzuki,Every Join Safety,2018,Used,,,,"8,000 km"
Daihatsu,Hijet Cargo,2016,Used,,,,0 km
Suzuki,Every Join Turbo,2017,Used,,,,"8,000 km"
Tata,dimo batta EX2,2014,Used,,,,"124,000 km"
,,,,,,,
Isuzu,ElF Freezer,2012,Reconditioned,,,,"400,000 km"
Suzuki,Every,2001,Used,,,,"88,000 km"
,,,,,,,
Toyota,CR41,1997,Used,,,,"140,000 km"
,,,,,,,
Suzuki,Every Full Join,2012,Used,,,,"45,000 km"
Toyota,HIACE TRH200,2016,Reconditioned,,,,"30,000 km"
,,,,,,,
Isuzu,Crew cab,1993,Used,,,,"150,000 km"
Mitsubishi,ROSA BUS,2011,Reconditioned,,,,"275,000 km"
,,,,,,,
Daihatsu,Hi Jet Lorry,1999,Used,,,,"213,312 km"
Toyota,Noah Kr42 Diesel,2000,Used,,,,"45,000 km"
Toyota,Dual purpose auto,2008,Used,,,,"227,000 km"
Mitsubishi,10/5 dunu Tiptronic,2012,Reconditioned,,,,"423,000 km"
Mahindra,BOLERO,2011,Used,,,,"58,000 km"
,,,,,,,
,,,,,,,
Suzuki,EVERY  DA17V,2015,Used,,,,"12,000 km"
Dimo Batta,ACE EX2,2014,Used,,,,"60,101 km"
,,,,,,,
Tata,407 Lorry,2013,Used,,,,"50,000 km"
,,,,,,,
Suzuki,Every Van Pc Ltd,2016,Reconditioned,,,,"68,000 km"
Suzuki,Every Semi Join,2013,Used,,,,"125,000 km"
Toyota,KDH 200,2007,Used,,,,"231,000 km"
Foton,bj1031,2018,New,,,,0 km
Foton,BJ1031,2018,New,,,,0 km
,,,,,,,
Isuzu,Single Wheel ELF,1982,Used,,,,"245,000 km"
Isuzu,ELF 150 NHR69E,2000,Used,,,,"200,000 km"
Suzuki,Every Join,2015,Used,,,,"23,000 km"
Foton,BJ 1031,2017,New,,,,0 km
Toyota,Diana,1997,Used,,,,"200,000 km"
Dimo Batta,Batta,2007,Used,,,,"80,000 km"
Tata,DIMO LOKKA,2015,Used,,,,"62,000 km"
Foton,BJ1031,2018,New,,,,0 km
Toyota,Toyota Tawnes,1997,Used,,,,"123,654 km"
,,,,,,,
Toyota,KDH 200 SUPER GL,2006,Used,,,,"168,000 km"
Mahindra,Maximo,2013,Used,,,,"88,000 km"
Toyota,KDH   SUPER GL,2007,Used,,,,"160,000 km"
,,,,,,,
,,,,,,,
Daihatsu,Hijet Freeze Auto,2012,Used,,,,"38,000 km"
